error,row_id,original_message,code,treatment
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",163,ruido exterior,bmril146,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",164,Muy agradable,bw06fecb,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",165,Agradable,bzi193hp,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",166,Es comodo,c00eul2t,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",167,había un ruido incomodo del altavoz ,c61ihueq,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 3, 'STR': 2 }",168,Fue agradable por el silencio y la disposición de las sillas.,c7v7gsf3,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",169,"No fue nada agradable, pues los sonidos hacen que se dificulte la concentración. ",cakq4wln,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",170,fue muy agradable por la hora del dia me senti agotado. ,cfp9zdud,1
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",171,Normal.,cg1k2s7v,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 4 }",172,el ruido altera,cnu9kg2j,2
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",173,"Normal, algo ruidoso",coufgn87,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",174,me gusto el experimento esta vez fue diferente ,ctzey4b5,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",175,Molesto por el sonido,cwtnq86j,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",176,El ruido hace un poco mas difícil concentrarse.,cym0feit,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 4, 'STR': 3 }",177,"Un poco molestos los sonidos, pero no influyen mucho si te concentras.",d7rjey2l,3
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 3, 'STR': 2 }",178,Calmado,dd41vml1,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",179,muy agradable,dfrulnp2,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 3, 'STR': 2 }",180,"Tranquilo, silencioso",di771y63,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",181,Muy agradable,dmk4hlrk,3
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 1, 'CONC': 1, 'STR': 4 }",182,"Fue horrible, es muy dificil concentrarse asi",dmqask61,3
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",183,No tan bueno,dmthehtn,3
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",184,No era agradable,dsi2ndvn,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",185,RUIDOSO,dxwg8gsx,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",186,No mucho porque habia mucho ruido,e2bnkm91,2
"{ 'SEN': 1, 'MR': 1, 'MS': 0, 'CONF': 4, 'CONC': 5, 'STR': 2 }",187,"súper, el sonido me ayudo a concentrarme",e9lp7j7h,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 3 }",188,Habia un ruido de ambiente desconcentrante,eb1dgn10,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",189,"Al principio no fue muy agradable gracias al ambiente auditivo, habìa mucho ruido en el entorno y eso me distrajo en las tareas",eddpjdg8,3
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",190,No fue tan agradable,edq8uiul,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",191,"Me distraje demasiado con el ruido de fondo, no me dejo concentrarme",edrwkjuk,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",192,Mal ese sonido del microfono desconcentra,ekhkaj49,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",193,Fue poco agradable pero es interesante ,el9q8ddt,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",194,muy buen ambiente,esfjh45t,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",195,"Buen ambiente, exceptuando el ruido del micrófono",eunk150h,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",196,Totalmente agradable,evinydg5,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",197,Muy Agradable,ezflv8jy,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 4, 'STR': 2 }",198,Fue agradable ya que hubo espacio para la concentración.,ezoj4kuw,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",199,"El ambiente estuvo bien , todo muy controlado",f1oraqlz,1
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 5, 'CONC': 5, 'STR': 1 }",200,"Bueno, el silencio ayuda mucho a concentrarse y el lugar es còmodo",f7uy5xxn,1
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",201,"Eh regular, el sonido que pusieron (creo que fue de aposta) pero luego cuando eran los juego uno no se percataba del sonido, ya era como sonido de fondo",f9339d5w,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",202,"bueno, aunque el ruido de fondo si llega a distraer en algunos momentos",fdmmjhqr,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",203,Muy agradable,feeyih0q,1
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",204,fue desagradable,fgnrs655,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 5, 'CONC': 3, 'STR': 1 }",205,fue agradable y acogedor,fgrhnvbs,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",206,super desagradable le ruido de fondo ,fgzoi3nx,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 5, 'CONC': 3, 'STR': 3 }",207,Cómodo,fm4n1bhi,1
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 3, 'STR': 2 }",208,El ambiente fue muy tranquilo,fssvy6my,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 4, 'CONC': 2, 'STR': 3 }",209,"Bastante desconcentrante debido al ruido de fondo del micrófono, de resto muy comodo ",ft4zt4p1,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",210,"Fue una bonita experiencia, aprendi mas a fortalecer habilidades",ft963el0,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",211,"El ruido de fondo en el que se escucha el teclado, o las notificaciones del celular distrae demasiado",fv2qn6h1,3
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",212,"Fue bueno, aunque a lo último me desconcentré en el cuenta atrás de tres números por el aviso de salida y perdí la concentración",g0p45d5l,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",213,Ruidoso,g2iccwkm,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",214,"Estuvo bien, pero el ruido blanco de fondo fue un poco molesto a veces",g319irjp,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",215,Comodo,g5k11e2b,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 3 }",216,"Todo estuvo muy bien, sin embargo hay un problema con el micrófono de la sala y queda prendido todo el experimento. No sé si fue a propósito, pero dificultó la realización del mismo. ",g6r6cr77,2
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",217,Había ruido pero aun así me sentí cómoda,g7dfv73z,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 4, 'STR': 1 }",218,"Pues no fue tenso ni incomodo, me gusto porque cada uno esta en su computador y no se siente presion a nada  ",g8wmvl9h,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",219,esta bien,g98z32sd,3
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",220,"Nada agradable, pero era parte del experimento",gdnkvtta,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",221,Ruido blanco intermitente que produce distraccion cuando se silencia y vuelve a sonar,ggiwpjt8,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 4 }",222,Fue molesto por el efecto de sonido que pusieron en los parlantes ,glrbk0u8,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",223,buena pero se escucha mucho ruido ,gnhkbxsu,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",224,fue bastante agradable,go6hnlyv,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",225,Mas que aceptable,gpyfarzk,1
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 5, 'CONC': 4, 'STR': 1 }",226,Totalmente silencioso. Agradable,gqbhr8mp,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",227,"No fue agradable, habìa mucho ruido, hacia difìcil concentrarse",gr9n7iiw,3
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 3, 'STR': 2 }",228,Tranquilo,greg4tdt,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",229,Agradable,gufopkfh,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 1, 'CONC': 2, 'STR': 4 }",230,El ruido de fondo me incomodo mucho,gvw7p3nm,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 2 }",231,Relajado,h20xjgwa,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",232,el sonido generaba una gran distracción ,h3jrufnd,3
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",233,"Estuvo bien, lo único fue que cuando habló la chica me distraje un poco, al igual con la música del exterior. ",h4g6jdzc,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",234,normal,h5e1ndll,1
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",235,no tan agradable ya después uno se acostumbra,h5puhgrx,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",236,El ambiente de la sala estuvo bien.,h9wvej62,1
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",237,Malo,hbgqgoyi,3
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",238,bueno,he21szl6,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",239,"Apropiado, sin embargo había ruido del micrófono que no permitía concentrarse de la mejor manera",hjie77d2,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",240,fue agradable,hjsmv7l9,2
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",241,Pesado ,hpqzhfaa,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",242,bueno ,hv70jemx,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",243,fue muy feo el ruido,hwa1qzx9,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",244,bueno,hxbs7vt3,1
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",245,normal,hz8e4upf,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",246,excelente,hzepzhvk,1
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 5, 'CONC': 3, 'STR': 3 }",247,"Bueno, todos estaban en silencio y fue cómodo",i0noswc2,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 4 }",248,bueno pero el ruido altera,i698u7hv,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",249,"Agrdable, de oficina",i7ho830i,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",250,Mucho ruido no dejaba concentrarme ,idfwv87t,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",251,mucho,ifcyd7yu,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",252,perfecto,ih03ide4,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 3 }",253,El sonido molestaba mucho el ambiente y la concentracion,iqh4w966,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 5 }",254,estresante por el ruido ,ir6wfar5,3
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",255,para experimentar como funciona la memoria atencional esta bien la implantación de sonidos explícitos distractores.,irz65y08,2
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 2, 'STR': 3 }",256,"Fue agradable, a veces el sonido no deja concentrar",ismsb3g8,1
"{ 'SEN': 1, 'MR': 1, 'MS': 0, 'CONF': 4, 'CONC': 4, 'STR': 2 }",257,"Fue un ambiente agradable, el ruido de fondo me funciono para el ejercicio de memoria",isq0qtia,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 3, 'STR': 2 }",258,"Fue agradable, muy silencioso ",isvl8kr5,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 1, 'CONC': 2, 'STR': 4 }",259,Detestable con esa cantidad de sonidos,itiqjnd3,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",260,"El ruido me distrajo mucho, no pude concentrarme bien. ",izli3w4f,2
"{ 'SEN': 1, 'MR': 1, 'MS': 0, 'CONF': 4, 'CONC': 4, 'STR': 2 }",261,"Pues fue comodo, el ruido me ayudaba a concentrarme mejor.",j2zncg4g,2
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",262,poco agradable,j3grljiq,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",263,Muy agradable ,j5y9nrjg,3
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",264,Bueno,j6a2cc9u,1
"{ 'SEN': 1, 'MR': 1, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",265,"Bien, agradable, el ruido blanco del fondo estaba bien",jcgamq1s,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",266,"Había un ruido que no dejaba concentrar, por lo que se hizo complicado realizar el experimento",je68xdgm,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 5 }",267,"El ruido de fondo fue muy estresante y frustrante. Ese tipo de sonidos hacen que me distraiga muchísimo, fue muy difícil concentrarme en la tareas de los números particularmente.",jft82oh4,3
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",268,normal,jg3n47g1,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",269,Ruidoso por el ruido ambiente del megafono,jp96hpbo,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",270,Fue bueno ,jvp768kn,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",271,Fue irritante porque el micrófono siempre estuvo encendido,jxn7jjfn,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",272,El ruido de fondo no me dejaba concentrar,jy0hodp3,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",273,"El sonido es un poco molesto, el que sale por los parlantes",k501ku2o,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",274,El ambiente en la sala fue un poco tedioso debido a que el ruido constante como distracción hacia que fuera difícil mantener la atención sostenida en la actividad propuesta ,k6tg0f7d,2
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",275,Yo siento que el punto en el que se sintió tensa la sesión fue cuando estaban memorizando las palabras y de la nada les entraron a preguntar cosas... se escucho como el agh se me va a olvidar todo,k9i1tjbe,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",276,el ambiente fue comodo,kah4j5pc,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",277,mucho sonido de fondo,kcm9bp6n,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",278,Habia un ruido un poco molesto como cuando el televisor no tiene programa,kmw4di68,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 4, 'CONC': 2, 'STR': 3 }",279,Es algo complicado lograr concentrarse con los sonidos que ponen en los altavoces de resto todo excelente.,kn931swe,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",280,Muy amable las personas en el laboratorio,kwjwfmyv,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",281,Estaba sonando ruido que no me permitía concentrarme,kxwyiuej,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",282,Ambiente agradable,kyksyfyi,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 5 }",283,"El sonido lo estresa, olvidando lo que esta haciendo por momentos",kyyty5cp,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",284,bien,kyztdp9p,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",285,El ambiente de la sala fue agradable,l5twx2sm,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",286,el sonido perturba demasiado,l5y5kcsh,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",287,Muy agradable-,lamz8bxb,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",288,Muy bien,lbfdyabn,1
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",289,No fue para nada agradable,ld4fekqe,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",290,Fue poco agradable escuchar sonidos externos e incomodos,ljtsnl7l,3
"{ 'SEN': 0, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",291,"bueno, pero ruido de la cale",llxfdeoz,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",292,"El ruido de fondo era incómodo, pero quizá era parte del experimento.",ls8x6t7x,2
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",293,Bien,ltz7hxxk,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",294,Todo bastante bien,luexx172,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",295,Si fue agradable :),luz1jtij,1
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 4, 'STR': 2 }",296,Bien porque estuvo silencioso,m1g7vcw9,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 5 }",297,"Fue bastante estresante y agobiante, por la cantidad de ruido y mas porque es un ruido como bastante plano ",m2beq5zn,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 4, 'STR': 2 }",298,Fue agradable el silencio y el orden del lugar,m2r1ss98,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 5, 'CONC': 5, 'STR': 1 }",299,Fue un ambiente optimo para la concentración del experimento,m7dh6ljw,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",300,muy agradable ,m8kmv03w,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",301,hay un ruido de fondo que hace que me desconcentre y fue un poco dificil para mi ,mc863074,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",302,fue agradable,md800yz8,1
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",303,"no fue muy agradable que dieran un  anuncio mientras se hace un ejercicio de memoria me desconcentro totalmente, siento que fue inapropiado",mgpwdjso,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 4 }",304,El ruido me parecio bastante incomodo,ml90olgf,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 3 }",305,fue bastante agradable,n8a0yw19,3
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",306,7,n8z1hooo,1
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 4, 'CONC': 3, 'STR': 2 }",307,Tranquilo,ncd2080b,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",308,Agradable,nedln5fm,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 1, 'CONC': 2, 'STR': 4 }",309,El micrófono estuvo todo el tiempo prendido entonces fue muy incomodo escuchar el ruido durante el experimento,nf1u57vj,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 1, 'STR': 4 }",310,"mucho ruido, dificulta la concentracion ",nisl6ete,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",311,"Todo bien, agradable",nksuj8c3,1
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",312,bueno,nmvofkrx,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 5, 'CONC': 3, 'STR': 3 }",313,"Sillas cómodas, buen clima.",no80c3e6,3
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",314,"El ruido fué incómodo pero bien, intenté concentrarme lo mejor que pude",npf71lwv,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",315,agradabe ,nrdi55xl,1
"{ 'SEN': -1, 'MR': 1, 'MS': 1, 'CONF': 3, 'CONC': 2, 'STR': 4 }",316,Los ejercicios eran estresantes por el nivel de concentraciòn requerido pero el espacio estuvo tranquilo hasta la parte final cuando comunicaron informaciòn por el micròfono mientras algunos no terminàbamos todas las pruebas que requerìan concentraciòn.,nv25r71i,1
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",317,"hace calor, y a veces cuando uno esta concentrado siente que falta oxigeno",nwpq6kvv,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 4, 'STR': 3 }",318,"El ambiente estuvo de acuerdo a los requerimientos de los juegos. Osea, fue un espacio en donde me pude concentrar",nxaddrha,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 2, 'STR': 4 }",319,mucho ruido de fondo,ny9jjrzj,3
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",320,No tan bueno,nztlvbhu,3
"{ 'SEN': -1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",321,Nefasto,o0ir1gnh,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",322,fue agradable,o1lpkona,1
